,y,a,b,c,h,yy,dy,B,night,hypo,dips,twos,tres,fp,tp,A,C
2022-02-01 07:13:13,4.27408,0.0,0.0572385714285714,0.0,,4.27408,-0.05550000000000033,0.09175755881524829,False,False,False,False,False,False,False,8.98380424177895e-21,0.0
2022-02-01 07:18:13,4.21857,0.0,0.0,0.0,,4.21857,-0.05550999999999995,0.08892212262221723,False,False,False,False,False,False,False,4.491902120889475e-21,0.0
2022-02-01 07:23:13,4.16306,0.0,0.0,0.0,,4.16306,-0.05550999999999995,0.086180975472585,False,False,False,False,False,False,False,2.2459510604447376e-21,0.0
2022-02-01 07:28:13,4.10755,0.0,0.0,0.0,,4.10755,-0.05550999999999995,0.08353057845441765,False,False,False,False,False,False,False,1.1229755302223688e-21,0.0
2022-02-01 07:33:13,4.16306,0.0,0.0,0.0,,4.16306,0.05550999999999995,0.08096754991020948,False,False,False,False,False,False,False,5.614877651111844e-22,0.0
2022-02-01 07:38:13,4.05205,0.0,0.050399,0.0,,4.05205,-0.11100999999999939,0.08003166680318621,False,False,False,False,False,False,False,2.807438825555922e-22,0.0
2022-02-01 07:43:13,4.10755,0.0,0.050399,0.0,,4.10755,0.05549999999999944,0.0791263809761946,False,False,False,False,False,False,False,1.403719412777961e-22,0.0
2022-02-01 07:48:13,4.16306,0.0,0.0547775454545454,0.0,,4.16306,0.05550999999999995,0.07838406325430897,False,False,False,False,False,False,False,7.018597063889805e-23,0.0
2022-02-01 07:53:13,3.99654,0.0,0.091295909090909,0.0,,3.99654,-0.16651999999999978,0.07877691087480304,False,True,False,False,False,False,False,3.5092985319449025e-23,0.0
2022-02-01 07:58:13,4.16306,0.0,0.0547775454545454,0.0,,4.16306,0.16651999999999978,0.07804814783793904,False,False,False,False,False,False,False,1.7546492659724512e-23,0.0
2022-02-01 08:03:13,4.27408,0.0,0.058743,0.0,,4.27408,0.1110199999999999,0.07746303954076669,False,False,False,False,False,False,False,8.773246329862256e-24,0.0
2022-02-01 08:08:13,4.32958,0.0,0.097905,0.0,,4.32958,0.05550000000000033,0.07808146470046555,False,False,False,False,False,False,False,4.386623164931128e-24,0.0
